File;StartLine;EndLine;LOC_BEFORE_REFACTORING;LOC_AFTER_REFACTORING;ProjectName;VersionProject;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/dispatch/DispatchUtils.java;40;122;11;7;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/resolver/ApacheCatalogResolver.java;117;123;4;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/XMLCatalog.java;571;577;4;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/Diagnostics.java;698;711;8;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/filters/SortFilter.java;325;349;17;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/filters/ClassConstants.java;108;144;15;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/AntStructure.java;364;386;4;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/optional/SchemaValidate.java;251;258;4;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/optional/PropertyFile.java;474;485;4;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/optional/PropertyFile.java;492;498;4;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/optional/XMLValidateTask.java;397;414;6;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/optional/pvcs/Pvcs.java;197;292;12;4;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/optional/junit/FormatterElement.java;283;297;8;4;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/optional/junit/FormatterElement.java;300;306;4;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/optional/junit/FormatterElement.java;335;344;6;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitVersionHelper.java;144;174;8;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/optional/ejb/IPlanetEjbcTask.java;251;261;6;3;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/SQLExec.java;633;708;12;6;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/ExecuteJava.java;119;204;9;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/AbstractCvsTask.java;346;380;19;5;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/launcher/CommandLauncher.java;175;190;11;3;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/email/MimeMailer.java;136;289;4;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/taskdefs/Checksum.java;633;646;4;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/IntrospectionHelper.java;1145;1158;10;4;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/IntrospectionHelper.java;1328;1345;11;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/IntrospectionHelper.java;1360;1373;11;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/tests/junit/org/apache/tools/ant/IntrospectionHelperTest.java;675;681;4;2;Ant;1.9.4;
